TIME,V,I,I,pce
2.82E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.83E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.84E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.85E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.86E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.87E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.88E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.89E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.90E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.91E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.92E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
2.93E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
2.94E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
2.95E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
2.96E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
2.97E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
2.98E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
2.99E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.00E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.01E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.02E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.03E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.04E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.05E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.06E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.07E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.08E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.09E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.10E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.11E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.12E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.13E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.14E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.15E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.16E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.17E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.18E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.19E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.20E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.21E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.22E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.23E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.24E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
