TIME,V,I,pce
4.23E+01,9.30E-01,1.29E-03,20.68448276
4.24E+01,9.30E-01,1.29E-03,20.68448276
4.25E+01,9.30E-01,1.29E-03,20.68448276
4.26E+01,9.30E-01,1.29E-03,20.68448276
4.27E+01,9.30E-01,1.29E-03,20.68448276
4.28E+01,9.30E-01,1.29E-03,20.68448276
4.29E+01,9.30E-01,1.29E-03,20.68448276
4.30E+01,9.30E-01,1.29E-03,20.68448276
4.31E+01,9.30E-01,1.29E-03,20.68448276
4.32E+01,9.30E-01,1.29E-03,20.68448276
4.33E+01,9.30E-01,1.29E-03,20.68448276
4.34E+01,9.30E-01,1.29E-03,20.68448276
4.35E+01,9.30E-01,1.29E-03,20.68448276
4.36E+01,9.30E-01,1.30E-03,20.84482759
4.37E+01,9.30E-01,1.30E-03,20.84482759
4.38E+01,9.30E-01,1.29E-03,20.68448276
4.39E+01,9.30E-01,1.29E-03,20.68448276
4.40E+01,9.30E-01,1.29E-03,20.68448276
4.41E+01,9.30E-01,1.29E-03,20.68448276
4.42E+01,9.30E-01,1.29E-03,20.68448276
4.43E+01,9.30E-01,1.29E-03,20.68448276
4.44E+01,9.30E-01,1.29E-03,20.68448276
4.45E+01,9.30E-01,1.29E-03,20.68448276
4.46E+01,9.30E-01,1.29E-03,20.68448276
4.47E+01,9.30E-01,1.29E-03,20.68448276
4.48E+01,9.30E-01,1.29E-03,20.68448276
4.49E+01,9.30E-01,1.29E-03,20.68448276
4.50E+01,9.30E-01,1.29E-03,20.68448276
4.51E+01,9.30E-01,1.29E-03,20.68448276
4.52E+01,9.30E-01,1.29E-03,20.68448276
4.53E+01,9.30E-01,1.29E-03,20.68448276
4.54E+01,9.30E-01,1.29E-03,20.68448276
4.55E+01,9.30E-01,1.29E-03,20.68448276
4.56E+01,9.30E-01,1.30E-03,20.84482759
4.57E+01,9.30E-01,1.30E-03,20.84482759
4.58E+01,9.30E-01,1.30E-03,20.84482759
4.59E+01,9.30E-01,1.30E-03,20.84482759
4.60E+01,9.30E-01,1.30E-03,20.84482759
4.61E+01,9.30E-01,1.30E-03,20.84482759
4.62E+01,9.30E-01,1.30E-03,20.84482759
4.63E+01,9.30E-01,1.30E-03,20.84482759
4.64E+01,9.30E-01,1.30E-03,20.84482759
4.65E+01,9.30E-01,1.30E-03,20.84482759
4.66E+01,9.30E-01,1.30E-03,20.84482759
4.67E+01,9.30E-01,1.30E-03,20.84482759
4.68E+01,9.30E-01,1.30E-03,20.84482759
4.69E+01,9.30E-01,1.30E-03,20.84482759
4.70E+01,9.30E-01,1.30E-03,20.84482759
4.71E+01,9.30E-01,1.30E-03,20.84482759
4.72E+01,9.30E-01,1.30E-03,20.84482759
4.73E+01,9.30E-01,1.30E-03,20.84482759
4.74E+01,9.30E-01,1.30E-03,20.84482759
4.75E+01,9.30E-01,1.30E-03,20.84482759
4.76E+01,9.30E-01,1.30E-03,20.84482759
4.77E+01,9.30E-01,1.30E-03,20.84482759
4.78E+01,9.30E-01,1.30E-03,20.84482759
4.79E+01,9.30E-01,1.30E-03,20.84482759
4.80E+01,9.30E-01,1.30E-03,20.84482759
4.81E+01,9.30E-01,1.30E-03,20.84482759
4.82E+01,9.30E-01,1.30E-03,20.84482759
4.83E+01,9.30E-01,1.30E-03,20.84482759
4.84E+01,9.30E-01,1.30E-03,20.84482759
4.85E+01,9.30E-01,1.30E-03,20.84482759
4.86E+01,9.30E-01,1.30E-03,20.84482759
4.87E+01,9.30E-01,1.30E-03,20.84482759
4.88E+01,9.30E-01,1.30E-03,20.84482759
4.89E+01,9.30E-01,1.30E-03,20.84482759
4.90E+01,9.30E-01,1.30E-03,20.84482759
4.91E+01,9.30E-01,1.30E-03,20.84482759
4.92E+01,9.30E-01,1.30E-03,20.84482759
4.93E+01,9.30E-01,1.30E-03,20.84482759
4.94E+01,9.30E-01,1.30E-03,20.84482759
4.95E+01,9.30E-01,1.29E-03,20.68448276
4.96E+01,9.30E-01,1.29E-03,20.68448276
4.97E+01,9.30E-01,1.29E-03,20.68448276
4.98E+01,9.30E-01,1.29E-03,20.68448276
4.99E+01,9.30E-01,1.29E-03,20.68448276
5.00E+01,9.30E-01,1.29E-03,20.68448276
5.01E+01,9.30E-01,1.29E-03,20.68448276
5.02E+01,9.30E-01,1.29E-03,20.68448276
5.03E+01,9.30E-01,1.29E-03,20.68448276
5.04E+01,9.30E-01,1.29E-03,20.68448276
5.05E+01,9.30E-01,1.29E-03,20.68448276
5.06E+01,9.30E-01,1.29E-03,20.68448276
5.07E+01,9.30E-01,1.29E-03,20.68448276
5.08E+01,9.30E-01,1.29E-03,20.68448276
5.09E+01,9.30E-01,1.29E-03,20.68448276
5.10E+01,9.30E-01,1.29E-03,20.68448276
5.11E+01,9.30E-01,1.29E-03,20.68448276
5.12E+01,9.30E-01,1.29E-03,20.68448276
5.13E+01,9.30E-01,1.29E-03,20.68448276
5.14E+01,9.30E-01,1.29E-03,20.68448276
5.15E+01,9.30E-01,1.29E-03,20.68448276
